airline,country,region,safety_tier_label,annual_passengers_mn,years_operating
Pegasus Airlines,Turkey,Europe,Tier 2 (Good),22.9,35
Sunwing Airlines,Canada,NorthAmerica,Tier 1 (Excellent),3.8,19
Cebu Pacific,Philippines,SoutheastAsia,Tier 2 (Good),46.3,36
Vietjet,Vietnam,SoutheastAsia,Tier 2 (Good),4.6,13
Citilink,Indonesia,SoutheastAsia,Tier 2 (Good),18.4,23
TUI Airways,UK,Europe,Tier 1 (Excellent),6.3,62
Condor,Germany,Europe,Tier 2 (Good),25.2,69
Thomas Cook Airlines,UK,Europe,Tier 2 (Good),3.2,59
Pan American World Airways,USA,NorthAmerica,Tier 2 (Good),12.3,97
TWA,USA,NorthAmerica,Tier 2 (Good),6.5,99
Eastern Air Lines,USA,NorthAmerica,Tier 2 (Good),0.8,98
Swissair,Switzerland,Europe,Tier 1 (Excellent),10.4,93
Sabena,Belgium,Europe,Tier 2 (Good),2.1,101
Olympic Airways,Greece,Europe,Tier 2 (Good),12.5,67
Mexicana de Aviación,Mexico,LatinAmerica,Tier 2 (Good),16.3,103
Varig,Brazil,LatinAmerica,Tier 2 (Good),32.0,97
Ansett Australia,Australia,AsiaPacific,Tier 1 (Excellent),13.3,88
Malév,Hungary,Europe,Tier 2 (Good),19.7,78
Spanair,Spain,Europe,Tier 2 (Good),5.7,36
Air Berlin,Germany,Europe,Tier 1 (Excellent),22.7,46
Monarch Airlines,UK,Europe,Tier 1 (Excellent),23.1,57
Aviaco,Spain,Europe,Tier 2 (Good),29.1,76
Tarom,Romania,Europe,Tier 3 (Moderate),66.7,70
Croatia Airlines,Croatia,Europe,Tier 2 (Good),31.5,34
Air Transat,Canada,NorthAmerica,Tier 1 (Excellent),9.0,38
Sky Express,Greece,Europe,Tier 2 (Good),23.9,19
Flybe,UK,Europe,Tier 1 (Excellent),9.4,45
Adria Airways,Slovenia,Europe,Tier 2 (Good),5.4,63
Aer Lingus,Ireland,Europe,Tier 1 (Excellent),12.1,88
Rossiya Airlines,Russia,CIS,Tier 3 (Moderate),61.2,90
Ural Airlines,Russia,CIS,Tier 3 (Moderate),19.6,81
Air Koryo,NorthKorea,AsiaPacific,Tier 4 (Poor),3.2,74
MIAT Mongolian,Mongolia,AsiaPacific,Tier 3 (Moderate),32.2,68
Pakistan International,Pakistan,SouthAsia,Tier 3 (Moderate),14.6,69
SriLankan Airlines,SriLanka,SouthAsia,Tier 2 (Good),6.9,45
Biman Bangladesh,Bangladesh,SouthAsia,Tier 3 (Moderate),33.4,52
Nepal Airlines,Nepal,SouthAsia,Tier 4 (Poor),76.1,66
Yeti Airlines,Nepal,SouthAsia,Tier 3 (Moderate),0.7,26
Saurya Airlines,Nepal,SouthAsia,Tier 3 (Moderate),46.7,9
